Statement,Accessibilty,Accuracy,Customizability,Legal,Maintainability,Performance,Safety,Security,Trust,Usability,Other
"location: If you allow your device to provide us with this information, we use it to provide and make improvements to our products and services, and to provide recommendations and deliver relevant advertising.",0,0,1,0,0,1,0,0,0,0,0
"Matching users with drivers: To facilitate this experience, certain information is available to Scoop and other users on your profile, such as your name, employer, photo and statistics about your usage",0,0,0,0,0,1,0,0,1,0,0
"Monitor and improve our operations and processes, including security practices, algorithms, and other modeling",0,0,0,0,0,1,0,1,0,0,0
"Monitor or record calls, chats, and other communications with our customer-service team and other representatives, as well as platform communications between or among partners and travelers for quality control, training, dispute resolution",0,0,0,1,0,1,0,0,0,0,0
"Persistent cookies help with personalizing your experience, remembering your preferences, and supporting security features",0,0,1,0,0,0,0,1,0,0,0
"Postmates may use the data we collect for testing, analysis, product development, and machine learning to improve a user’s experience on the Platform",0,0,0,0,0,1,0,0,0,1,0
"Preventing, discovering and investigating violations of this Privacy Policy or any applicable terms of service or terms of use for the Mobile Application, and investigating fraud, chargebacks or other matters",0,0,0,0,0,0,1,1,0,0,0
"profile: We use this information to provide the Services, respond to your requests, and send information and advertisements to you.",0,0,0,0,0,0,0,0,0,1,1
"Screening passengers and drivers before enabling their use of our Services and at subsequent intervals, including through reviews of background checks, where permitted by law, to help prevent use of our Services by unsafe persons.",0,0,0,0,0,0,1,0,1,0,0
"Share with IT vendors, such as entities that assist with website design, hosting, and maintenance, data and software storage, and network operation",0,0,0,0,1,0,0,0,0,1,0
the evaluation of system security and stability,0,0,0,0,0,1,0,1,0,0,0
"To conduct identification, criminal background, and right to work checks in order to advance our legitimate interests as well as for the substantial public interest of ensuring the safety of our Users",0,0,0,0,0,0,1,0,1,0,0
"To enforce and comply with the law, including to conduct an investigation, to protect the property and rights of Upwork or a third party, to protect the safety of the public or any person, or to prevent or stop activity we may consider to be, or to pose a risk of being, illegal, fraudulent, unethical or legally actionable activity. We may also use Device Identifiers to identify Upwork Users.",0,0,0,0,0,0,1,1,0,0,0
"To protect against or deter fraudulent, illegal or harmful actions and maintain the safety, security and integrity of our Services",0,0,0,0,0,0,1,1,0,0,0
To provide you with customer support in order to fulfill our contracts with Users,0,0,0,0,0,1,0,0,0,1,0
"To resolve disputes, to protect ourselves and other users of the Platform, and to enforce any legal terms that govern your use of the Platform.",0,0,0,1,0,0,1,0,0,0,0
Using user ratings and feedback to encourage compliance with our performance expectations and as grounds for de-prioritizing drivers with low ratings or who otherwise fail to meet such expectations.,0,0,0,0,0,1,1,0,0,0,0
"Verify drivers’ identity, background history and/or eligibility to provide transportation",0,0,0,0,0,0,1,0,1,0,0
"We also use your Personal Information to contact you with Outdoorsy newsletters, marketing or promotional materials and other information that may be of interest to you. ",0,0,1,0,0,0,0,0,0,1,0
We collect information about the institutions you have attended and the level of education you have attained in order to conduct background and other screening activities if you submit an employment application to us,0,0,0,0,0,0,1,0,1,0,0
"We collect information about your browsing history, search history, information regarding your interaction with websites, applications or advertisements automatically when you utilize our Services, in order to gauge online activity on our website and application, measure the effectiveness of online services, applications, and tools, and to serve targeted advertisements based on your online activities",0,0,1,0,0,1,0,0,0,0,0
"we collect recordings of customer support calls with notice to and the consent of the user to provide customer support Direct questions to the appropriate customer support person, Investigate and address user concerns, Monitor and improve our customer support responses and processes",0,0,0,0,0,1,0,0,0,1,0
"We may also collect health information you provide directly to us regarding an experience with a retail partner that may require us to contact that retailer, or other retailer partners, for public health or safety reasons, or to facilitate a refund",0,0,0,0,0,0,1,1,0,0,0
"We may also scan, review or analyze messages for research and product development purposes, as well as to debug, improve and expand product offerings. ",0,0,0,0,0,1,0,0,0,0,1
"We may also use the information about the way you access and use our Services to determine products and services that may be of interest to you, to improve our products and Services, to evaluate the success of our advertising and marketing campaigns, and to send you marketing communications",0,0,1,0,0,1,0,0,0,0,0
"we may collect information about your precise geolocation, and we may use that information to improve the Platform, including providing you with location-based features (e.g. for identification of Pro Services available near you).",0,1,0,0,0,1,0,0,0,0,0
"We may collect Personal Information such as a photograph of your face, a selfie, or data about your interactions with the Service to verify your identity and to detect fraud, identity theft. The biometric identifiers or information collected are used only for identity verification and platform security and use integrity purposes",0,0,0,0,0,0,1,1,0,0,0
"We may disclose your information to whomever necessary when we believe it appropriate to investigate, prevent, or take action regarding possible illegal activities, suspected fraud, situations involving potential threats to the physical safety of any person",0,0,0,0,0,0,1,1,0,0,0
"we may receive additional information about you, such as references, demographic data or information to help detect fraud and safety issues",0,0,0,0,0,0,1,1,0,0,0
"We may use information collected through these tracking technologies to remember information so that you won’t have to re-enter it on subsequent visits, to provide and monitor the effectiveness of the Service, to provide custom, personalized content including targeted advertising, to automatically update the Service on your mobile devices and for other purposes. ",0,0,0,0,0,1,0,0,0,1,0
"We may use the data we collect for testing, research, analysis, product development and machine learning to improve the user experience",0,0,0,0,0,1,0,0,0,0,1
"we might use personal data to detect and prevent fraud and other illegal or unwanted activities. we might use personal data for risk assessment and security purposes, including the authentication of users and reservations",0,0,0,0,0,0,1,1,0,0,0
we use a payment processing company to receive and process your credit card transactions for us,0,0,0,0,0,0,0,1,0,1,0
"we use cookies to statistically record the use of our website, to optimize our services, and to display information tailored to your specific needs",0,0,1,0,0,1,0,0,0,0,0
"We use Hotjar, which facilitates the visual representation of clicks, taps and scrolling behaviour to better understand how users interact with our sites to better inform our UI/UX decision making abilities",0,0,0,0,0,1,0,0,0,1,0
"We use Persistent Cookies to remember your log-in details and make it easier for you to log-in the next time you access the Services. We may use this type of cookies and Session Cookies for additional purposes, to facilitate the use of the Services’ features and tools.",0,0,0,0,0,1,0,0,0,1,0
"We use the data (which can include your communications) to investigate, respond to and resolve inquiries, complaints and Service issues.",0,0,0,0,1,1,0,0,0,0,0
"We use the information we collect to help maintain the safety, security, and integrity of our services, third parties, and Users",0,0,0,0,0,0,1,1,0,0,0
We use this contact and profile information to: create and personalize your Account,0,0,1,0,0,0,0,0,0,1,0
"We use this device and software information to diagnose and fix technology problems, serve you personalized advertising, personalize your experience, perform analytics/identify usage trends, and improve our products and Services.",0,0,0,0,1,1,0,0,0,0,0
"We use this information to monitor and analyze use of the Services and for the technical administration of the Services, to increase the functionality and user-friendliness of the Services, and to better tailor our Services to our visitors’ needs. ",0,0,0,0,0,1,0,0,0,1,0
"We use this payment information to fulfill your order, complete the transaction, and detect and prevent fraud.",0,0,0,0,0,0,0,1,0,0,1
"We use your location information to facilitate the prompt hand-off of pickup orders (where available), to assist you in finding nearby stores for which pickup or delivery are available, for other similar purposes and for analytics purposes.",0,1,0,0,0,1,0,0,0,0,0
When service professionals applying to participate on the Handy Platform in the United States provide their Social Security numbers for a background check,0,0,0,0,0,0,1,0,1,0,0
"You may review, update, correct or delete the information in your HyreCar Account",0,0,0,1,0,0,0,0,0,1,0
 Uber’s Real-Time ID Check ,0,0,0,0,0,0,0,1,0,0,0
 Uber’s Real-Time ID Check ,0,0,0,0,0,0,0,1,0,0,0
" If you are ordering an alcoholic beverage, our Delivery Partners may also collect the information contained on your government-issued identification card for age verification purposes in order to complete the delivery",0,0,0,1,0,0,0,0,0,0,0
" If you used the Trip Photo feature, we may share the trip photos you upload and associated captions with the other party",0,0,0,0,0,0,0,0,0,0,1
 In connection with legal or administrative proceedings ,0,0,0,1,0,0,0,0,0,0,0
" In order to prevent unauthorized access or disclosure we have put in place suitable physical, electronic and managerial procedures to safeguard and secure the information we collect online.",0,0,0,0,0,0,0,1,0,0,0
 Our processing of your personal data in order to make reviews available is on the basis of our legitimate interest in making the review system available to our users.,0,0,0,0,0,0,0,0,1,0,0
 providing you with navigation services or information on how to improve the safety of your driving,0,0,0,0,0,0,1,0,0,0,0
 remember information so that you will not have to re-enter it during your visit,0,0,0,0,0,0,0,0,0,1,0
 We collect information about your preferences to make your use of the Site more productive through the use of cookies,0,0,0,0,0,1,0,0,0,0,0
 We collect payment information when you provide it to us. We use this information to streamline and facilitate payments and transactions.,0,0,0,0,0,0,0,0,0,1,0
" we may use cookies to understand how you are using site features, to report on any errors in how the Site is functioning",0,0,0,0,1,0,0,0,0,0,0
 We use your information to process sharing transactions and to send you notices about your transactions. ,0,0,0,0,0,0,0,0,0,0,1
" We will disclose any information about you to government or law enforcement officials or private parties as we, in our sole discretion, believe necessary or appropriate to respond to claims and legal process",0,0,0,1,0,0,0,0,0,0,0
" When you are using our websites and apps, we use the searches you have made and the properties and tours/experiences that you have looked at in order to tailor our adverts to your interests. We may also use data about your past transactions on the website to tailor our advertising",0,0,1,0,0,0,0,0,0,0,0
" Where we collect data in relation to your use of our services, such as your device details and how you interact with our services, we use this data in order to deliver our services and personalise your experience",0,0,1,0,0,0,0,0,0,0,0
" Where we have collected your email address in the context of providing you with a service and you have not opted out of receiving email marketing, we may send you emails that we think will be useful to you",0,0,0,0,0,0,0,0,0,1,0
 Your information may also be used to improve the content and/or functionality of the Services,0,0,0,0,0,1,0,0,0,0,0
 your photograph to facilitate identification,0,0,0,0,0,0,1,0,0,0,0
"Addressing information security needs and protecting our Users, Upwork, and others.",0,0,0,0,0,0,0,1,0,0,0
Addressing service complaints,0,0,0,0,0,0,0,0,0,1,0
"After a delivery, we may share feedback or comments that a Customer provides with a Courier, but we will not identify the Customer. ",0,0,0,0,0,0,1,0,0,0,0
"after being matched with other Scoop users, we share more of your information with them, such as your location, pick-up and drop off addresses, your contact information and other preferences in your profile to facilitate a meaningful and easy commute. ",0,1,0,0,0,0,0,0,0,0,0
"All Members may review, update, correct or delete the Personal Information by editing the relevant part of their profile or by contacting us",0,0,0,0,0,0,0,0,0,1,0
allow you to use location services to find Trip Services nearby,0,1,0,0,0,0,0,0,0,0,0
"Allow your Personal Shopper (which means those that shop for and/or deliver the order for you, including our retail partner and their employees/agents where applicable or our third-party providers) to choose your items at a retailer site, deliver your items to you, and/or call or text you with any updates or issues",0,1,0,0,0,0,0,0,0,0,0
"analyse your preferences and performance and to customize and personalize your experience (including by making gig suggestions, ranking search results, etc.).",0,0,1,0,0,0,0,0,0,0,0
"Analytical cookies measure and track how our website and apps are used. We use this information to improve our website, apps and services.",0,0,0,0,0,1,0,0,0,0,0
Analyze how you use our Platform,0,0,0,0,0,1,0,0,0,0,0
"as part of our fraud prevention efforts, we may scan and analyze messages to prevent fraud or improper actions",0,0,0,0,0,0,0,1,0,0,0
ata about the use of the push notifications (such as opening rate or display duration) is collected and stored for improvement and customization of our services,0,0,0,0,0,1,0,0,0,0,0
Authenticating and verifying individual identities,0,0,0,0,0,0,0,1,0,0,0
"Based on your information, individualised offers might be shown to you",0,0,1,0,0,0,0,0,0,0,0
By choosing to invite a friend you represent that you have received the friend’s consent to provide his or her name and email address with us. DoorDash will use that information to send an email inviting him or her to visit the site and will store that information to track the success of the referral program and may send marketing emails.,0,0,0,0,0,0,0,0,0,0,1
"By renting a vehicle through the Platform, you consent to the sharing of vehicle and driver performance data with the owner of the vehicle and/or third party companies for purposes of diagnosing, monitoring and improving vehicle operations, performance, functionality, fuel efficiency and trip behavior. ",0,0,0,0,0,1,0,0,0,0,0
calculate listing and services prices,0,0,0,0,0,0,0,0,0,1,0
Calculate prices and facilitate payments,0,0,0,0,0,0,0,0,0,1,0
Calculate prices and process payments,0,0,0,0,0,0,0,0,0,1,0
California residents have the right to delete the personal information we have collected from you,0,0,0,1,0,0,0,0,0,0,0
Charge you for the purchase and delivery costs through one or more payment processing partners,0,0,0,0,0,0,0,0,0,1,0
"CML also enables users to request access to or copies of their data, changes or updates to their Accounts, deletion of their Accounts,",0,0,0,1,0,0,0,0,0,0,0
"CML is subject to laws and regulations in many cities and countries that require it to collect and retain data about our users’ trips, and to provide copies of such data to the government or other authorities",0,0,0,1,0,0,0,0,0,0,0
Collect feedback regarding your experience,0,0,0,0,0,0,0,0,0,1,0
collect feedback to provide customer service,0,0,0,0,0,0,0,0,0,1,0
"Collects gender and/or occupation when required for certain Uber services or programs, such as Uber Cash or Women Rider Preferred",1,0,0,0,0,0,0,0,0,0,0
"Collects gender and/or occupation when required for certain Uber services or programs, such as Uber Cash or Women Rider Preferred",1,0,0,0,0,0,0,0,0,0,0
Collects location to provide faster and personalized customer support,0,0,1,0,0,0,0,0,0,0,0
Collects location to provide faster and personalized customer support,0,0,1,0,0,0,0,0,0,0,0
Collects location to provide faster and personalized customer support,0,0,0,0,0,1,0,0,0,0,0
Collects location to provide faster and personalized customer support,0,0,0,0,0,1,0,0,0,0,0
Collects location to provide faster and personalized customer support,0,0,0,0,0,0,0,0,0,1,0
Collects location to provide faster and personalized customer support,0,0,0,0,0,0,0,0,0,1,0
"Communicate with you about events, promotions, elections, and campaigns",0,0,0,0,0,0,0,0,0,1,0
"Communicate with you about your account, our service or any enhancements or changes to our services, policies and terms and conditions",0,0,0,0,0,0,0,0,0,1,0
Communicate with you about your rides and experience,0,0,0,0,0,0,0,0,0,1,0
"Communicate with you via email, push notification, direct mail or SMS/text, either directly or through one of our partners, including for informational, marketing and promotional purposes",0,0,0,0,0,0,0,0,0,1,0
"Communicating with you by email, telephone, or text message, in accordance with your wishes",0,0,0,0,0,0,0,0,0,1,0
"comply with our legal and regulatory obligations, resolve any disputes that we may have with any of our Users, and enforce our agreements with third",0,0,0,1,0,0,0,0,0,0,0
Conducting research and analysis,0,0,0,0,0,0,0,0,0,0,1
Connect you to your rides and track their progress,0,1,0,0,0,0,0,0,0,0,0
"Contact you (such as by text message, email, phone call, mail, push notification, or messaging on other communication platforms) to provide information such as travel booking confirmations and updates",0,0,0,0,0,0,0,0,0,1,0
"contacts: In both cases, we will store this information for the sole purposes of allowing you to send your friends referral offers, for determining whether your friends use the Services after a referral is sent, and, for United States residents, to remind your friends of the referral sent on your behalf.",0,0,0,0,0,0,0,0,0,0,1
Continuously evaluating and improving the online and mobile user experience,0,0,0,0,0,1,0,0,0,0,0
Cookies also help us measure the performance of our advertising campaigns in order to help us improve our campaigns and the Services' content for those who engage with our advertising,0,0,0,0,0,1,0,0,0,0,0
"Cookies: for fraud detection, prevention, risk assessment, regulatory compliance, or investigations",0,0,0,0,0,0,0,1,0,0,0
"Cookies: to enable, facilitate and streamline the functioning of the Platform across different webpages, devices and browser sessions",0,0,0,0,0,0,0,0,0,1,0
"Cookies: to monitor and analyze the performance, operation and effectiveness of the Platform, so that we can improve and optimize it",0,0,0,0,0,1,0,0,0,0,0
Customize the website according to your interests,0,0,1,0,0,0,0,0,0,0,0
"Data Gathered from In-Vehicle Hardware:  understand your driving and use habits over time and potentially provide you with related benefits, such as better insurance rates or other perks for safe driving,",0,0,0,0,0,0,1,0,0,0,0
Data Gathered from In-Vehicle Hardware: aggregate your data with other drivers' data and better understand how people use our Service and how we can make it even better for you in the future. ,0,0,0,0,0,1,0,0,0,0,0
Data Gathered from In-Vehicle Hardware: record vehicle movements and driver behavior in case of an accident or theft,0,0,0,0,0,0,1,0,0,0,0
"Deactivating users who are identified as having engaged in fraud or activities that may otherwise harm CML, its users and/or others.",0,0,0,0,0,0,1,0,0,0,0
Debugging to identify and repair errors that impair existing intended functionality,0,0,0,0,0,1,0,0,0,0,0
Debugging to identify and repair errors with our Services.,0,0,0,0,1,0,0,0,0,0,0
Delete/ Provide access to and/or a copy of certain information we hold about you.,0,0,0,1,0,0,0,0,0,0,0
"Detailed driving records and criminal history to determine a person’s eligibility to be a driver or delivery partner, to comply with local laws",0,0,0,1,0,0,0,0,0,0,0
"Detailed driving records and criminal history to determine a person’s eligibility to be a driver or delivery partner, to comply with local laws",0,0,0,1,0,0,0,0,0,0,0
"Detailed driving records and criminal history to determine a person’s eligibility to be a driver or delivery partner, to protect other people who use our services",0,0,0,0,0,0,1,0,0,0,0
"Detailed driving records and criminal history to determine a person’s eligibility to be a driver or delivery partner, to protect other people who use our services",0,0,0,0,0,0,1,0,0,0,0
"Detect, prevent, and/or remediate fraud, abuse, security incidents, or other potentially harmful, prohibited, or illegal activities",0,0,0,1,0,0,0,0,0,0,0
"Detecting security incidents, protecting against malicious, deceptive, fraudulent or illegal activity, and prosecuting those responsible for that activity.",0,0,0,0,0,0,0,1,0,0,0
"Determine your likelihood of getting into an accident or of making an insurance claim, such as by checking your auto insurance score",0,0,0,0,0,0,1,0,0,0,0
develop and improve our services to you,0,0,0,0,0,1,0,0,0,0,0
"Device/Usage Information: We use this information for Platform analytics (including to determine which portions of the Platform are used most frequently and what our users like/do not like), to assist in determining relevant advertising (both on and off the Platform), to evaluate the success of our advertising campaigns, and as otherwise described in this Policy.",0,0,0,0,0,1,0,0,0,0,0
diagnose or fix technology problems,0,0,0,0,1,0,0,0,0,0,0
"DoorDash allows users to invite friends and family to sign up for our Services.To help you do this, we may request you to grant us access to your mobile device address book.",0,0,0,0,0,0,0,0,0,0,1
"drivers personal info: This type information is collected from Driver Partners to enable our compliance with local and state laws and regulatory requirements applicable to the Service, compliance with tax laws, and to process payments to Driver Partners",0,0,0,1,0,0,0,0,0,0,0
"Each time you log in, technical information is stored about your device and your browser, as well as information about your searches. This helps us to improve your overall user experience on the website, as well as the overall services.",0,0,0,0,0,1,0,0,0,0,0
"Enable communication between travelers and travel suppliers, such as hotels and vacation-property owners and managers",0,0,0,0,0,0,0,0,0,1,0
"Enable features that allow users to share information with other people, such as share ETA and location with their contacts.",0,0,0,0,0,0,1,0,0,0,0
enable you to communicate with other Members,0,0,0,0,0,0,0,0,0,1,0
"Enable you to communicate with other Turo users, including by sending them messages or other information during the booking process",0,0,0,0,0,0,0,0,0,1,0
enable you to connect and communicate with other Users,0,0,0,0,0,0,0,0,0,1,0
enable your communications with other members,0,0,0,0,0,0,0,0,0,1,0
Enabling communications between users:  a driver may message or call a rider to confirm a pickup location,0,0,0,0,0,0,0,0,0,1,0
Enabling communications between users:  a driver may message or call a rider to confirm a pickup location,0,0,0,0,0,0,0,0,0,1,0
Enabling communications between users: a driver may message or call a passenger to confirm a pickup location or a passenger may contact a driver to retrieve a lost item,0,0,0,0,0,0,0,0,0,1,0
Ensuring internal quality control and safety,0,0,0,0,0,0,1,0,0,0,0
ensuring that a trouble-free connection is established,0,0,0,0,1,0,0,0,0,0,0
ensuring the comfortable use of our website/application,0,0,0,0,0,0,0,0,0,1,0
evaluate and improve the quality of your interactions with us and programs and technologies related to interactions with us; design new services; ,0,0,0,0,0,1,0,0,0,0,0
Evaluating job applications to work at Handy,0,0,0,0,0,1,0,0,0,0,0
"Facilitate transactions, deliveries, and payments",0,0,0,0,0,0,0,0,0,1,0
"Facilitate your login to the Services via third-party identity and access management providers, such as Facebook, Google, and Apple",0,0,0,0,0,0,0,0,0,1,0
Find and prevent fraud,0,0,0,0,0,0,0,1,0,0,0
For customer support and to respond to your inquiries,0,0,0,0,0,0,0,0,0,1,0
For internal market research for our legitimate interest in improving the TaskRabbit Platform to grow our business,0,0,0,0,0,1,0,0,0,0,0
"For security purposes, we may also monitor or record the contents of phone calls made through the Platform,",0,0,0,0,0,0,0,1,0,0,0
For troubleshooting problems for our legitimate interests in ensuring a safe and secure environment in which Users can meet,0,0,0,0,1,0,0,0,0,0,0
"For workplace planner, we want to help your workplace and co-workers understand who will be physically present at your work location each day. To facilitate that, we may share the days that you have indicated you are planning on going into your work location.",0,0,0,0,0,0,0,0,0,0,1
